,Unnamed: 0,Season,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
14,14,2014-2015-Regular,64,HOU,Houston,Texans,15,16,485,293,60.4,30.3,3530,3415,7.3,6.7,213.4,22,4.5,10,2.1,610,49,9,26,115,89.3,550,34.4,2181,4.0,136.3,12,432,109,19.8,12,4,6,293,3530,12.0,220.6,22,610,170,40,9,0,732,1045,313,36,247,95,20,4,264,13.2,117,93,396,392,1,1,15,10,15,5,13,-19,18,2,20,419,21.0,295,0,12,1,0,0,33,212,6.4,124,0,1,0,28,0,1,30,35,85.7,0,0,0.0,6,7,85.7,13,15,86.7,7,8,87.5,4,5,80.0,546,0,40,40,100.0,130,0.0,81,5392,0,66.6,38,43,1120,26.0,0,0,0,79,3710,3269,910,47.0,41.4,0,0,13,28,35.4,10,12.7,24,32,441,13.8,309,170,109,30,91,235,38.7,10,17,58.8,92,819,1061,5596,5.3,36,9,7,0,0,0,0.0,374,305,69
15,15,2014-2015-Regular,73,KC,Kansas City,Chiefs,16,16,491,320,65.2,30.7,3370,3127,6.9,5.8,195.4,19,3.9,6,1.2,492,47,5,48,243,92.8,415,25.9,1925,4.6,120.3,17,430,93,22.4,12,3,8,320,3370,10.5,210.6,19,492,185,39,3,0,795,944,149,46,257,90,5,1,44,8.8,82,79,367,382,0,0,18,11,13,7,6,-11,13,1,50,1464,29.3,646,1,41,5,0,0,50,671,13.4,345,1,13,4,4,0,0,25,30,83.3,1,1,100.0,10,10,100.0,6,7,85.7,7,10,70.0,1,2,50.0,523,0,38,38,100.0,113,0.0,80,5145,0,64.3,26,54,1308,24.2,0,0,0,67,2990,2774,860,44.6,41.4,0,0,13,31,46.3,5,7.5,20,29,216,7.4,306,185,93,28,80,201,39.8,5,13,38.5,75,599,954,5052,5.3,37,9,7,0,0,0,0.0,341,281,60
16,16,2014-2015-Regular,49,MIA,Miami,Dolphins,17,16,601,394,65.6,37.6,4069,3727,6.8,5.8,232.9,27,4.5,11,1.8,495,43,4,47,342,92.3,393,24.6,1908,4.8,119.2,12,415,101,25.7,13,2,8,394,4069,10.3,254.3,27,495,226,37,4,0,779,979,200,39,227,95,13,2,132,10.2,119,57,338,362,2,1,21,10,14,11,13,14,24,1,41,1094,26.7,459,0,30,4,0,0,24,241,10.0,157,0,4,1,19,0,2,29,37,78.4,1,1,100.0,12,12,100.0,7,8,87.5,6,10,60.0,3,6,50.0,582,0,41,41,100.0,128,0.0,82,5381,0,65.6,37,45,1271,28.2,0,0,0,53,2528,2104,839,47.7,39.7,0,0,3,18,34.0,3,5.7,11,35,424,12.1,358,226,101,31,80,200,40.0,7,19,36.8,74,576,1041,5635,5.4,40,8,8,0,0,0,0.0,384,373,11
17,17,2014-2015-Regular,78,SF,San Francisco,49ers,18,16,489,292,59.7,30.6,3424,3088,7.0,5.7,193.0,20,4.1,9,1.8,625,49,5,52,336,87.0,470,29.4,2193,4.7,137.1,10,354,109,23.2,14,2,7,292,3424,11.7,214.0,20,625,165,44,5,0,726,908,182,36,209,85,21,2,273,13.0,187,83,335,365,0,0,13,9,11,4,6,-5,10,1,45,1124,25.0,413,0,34,1,0,0,32,222,6.9,138,0,3,0,13,0,1,25,30,83.3,0,0,0.0,6,6,100.0,8,9,88.9,5,7,71.4,6,8,75.0,518,0,33,33,100.0,108,0.0,72,4706,0,65.4,32,40,907,22.7,0,0,0,68,3222,2871,900,47.4,42.2,1,0,3,26,38.2,7,10.3,22,33,351,10.6,305,165,109,31,88,217,40.6,10,18,55.6,105,808,1011,5281,5.2,31,8,8,0,0,1,0.0,306,340,-34
18,18,2014-2015-Regular,69,CAR,Carolina,Panthers,19,16,544,327,60.1,34.0,3822,3495,7.0,6.0,218.4,23,4.2,11,2.0,523,44,4,43,327,87.1,474,29.6,2009,4.2,125.6,10,334,116,24.5,7,1,8,327,3822,11.7,238.9,23,523,198,40,4,0,652,969,317,40,277,90,12,2,132,11.0,157,68,328,424,0,0,22,11,16,11,11,-22,22,0,37,815,22.0,307,0,24,2,0,0,24,232,9.7,180,1,2,1,25,0,1,29,35,82.9,0,0,0.0,7,7,100.0,12,13,92.3,9,12,75.0,1,3,33.3,580,0,34,34,100.0,121,0.0,79,5192,0,65.7,61,18,596,33.1,0,0,0,66,3009,2541,868,45.6,38.5,2,0,13,25,37.9,5,7.6,20,27,468,17.3,345,198,116,31,93,221,42.1,6,10,60.0,79,726,1061,5512,5.2,33,7,8,0,0,0,0.0,333,374,-41
19,19,2014-2015-Regular,58,CLE,Cleveland,Browns,20,16,512,276,53.9,32.0,3691,3468,7.2,6.4,216.8,12,2.3,16,3.1,81,56,11,30,223,71.8,474,29.6,1734,3.7,108.4,17,36,89,18.8,10,0,6,276,3691,13.4,230.7,12,81,179,45,11,0,692,1125,433,31,201,85,21,2,248,11.8,35,98,381,365,2,0,13,8,11,5,7,-28,12,1,34,811,23.8,62,0,22,2,0,0,25,182,7.3,37,0,2,0,25,0,1,25,31,80.6,0,0,0.0,6,6,100.0,12,15,80.0,6,8,75.0,1,2,50.0,52,0,31,31,100.0,106,0.0,71,4681,0,65.9,40,31,709,22.9,0,0,0,88,3958,3636,63,45.0,41.3,0,0,11,25,28.4,9,10.2,26,40,322,8.0,293,179,89,25,61,211,28.9,5,15,33.3,99,817,1016,5222,5.1,30,7,9,0,0,0,0.0,298,337,-39
20,20,2014-2015-Regular,70,NO,New Orleans,Saints,21,16,659,456,69.2,41.2,4971,4693,7.5,6.8,293.3,33,5.0,16,2.4,646,56,10,30,278,97.8,406,25.4,1832,4.5,114.5,16,426,102,25.1,11,2,6,456,4971,10.9,310.7,33,646,258,42,10,0,717,978,261,34,193,82,9,0,67,7.4,63,60,335,469,0,2,19,13,8,6,5,-14,11,0,20,545,27.2,301,0,14,1,0,0,19,150,7.9,97,0,2,0,26,0,0,19,22,86.4,0,0,0.0,6,6,100.0,9,9,100.0,3,5,60.0,1,2,50.0,403,1,46,47,97.9,103,0.0,76,5037,0,66.3,38,38,985,25.9,0,0,0,52,2452,2306,816,47.2,44.4,0,0,10,19,36.5,5,9.6,13,24,146,6.1,393,258,102,33,98,203,48.3,8,16,50.0,72,624,1095,6697,6.1,49,7,9,0,0,1,0.0,401,425,-24
21,21,2014-2015-Regular,63,MIN,Minnesota,Vikings,22,16,525,317,60.4,32.8,3426,3095,6.5,5.4,193.4,17,3.2,16,3.0,558,43,7,52,331,77.7,405,25.3,1803,4.4,112.7,12,407,89,22.0,12,3,1,317,3426,10.8,214.1,17,558,171,36,7,0,738,999,261,42,225,90,10,2,93,9.3,87,68,324,358,1,0,9,4,8,5,5,9,10,4,56,1298,23.2,443,0,32,6,0,0,27,370,13.7,272,0,6,1,25,0,2,26,35,74.3,2,2,100.0,4,5,80.0,8,10,80.0,7,9,77.8,5,9,55.6,551,0,29,29,100.0,107,0.0,74,4701,0,63.5,47,27,577,21.4,0,0,0,71,3151,2887,864,44.4,40.7,1,0,8,22,31.0,6,8.4,19,32,264,8.2,288,171,89,28,80,211,37.9,6,12,50.0,93,777,982,4898,5.0,33,7,9,0,0,0,0.0,325,341,-16
22,22,2014-2015-Regular,77,STL,St. Louis,Rams,23,16,515,326,63.3,32.2,3701,3384,7.2,6.0,211.5,20,3.9,15,2.9,612,43,8,47,317,85.6,394,24.6,1721,4.4,107.6,11,373,82,20.8,7,1,6,326,3701,11.4,231.3,20,612,189,35,8,0,799,978,179,42,276,110,13,3,109,8.4,108,64,323,454,2,0,20,9,16,11,13,-49,24,0,44,1109,25.2,395,0,34,2,0,0,33,538,16.3,412,2,8,4,24,0,0,24,29,82.8,1,1,100.0,6,7,85.7,10,12,83.3,2,2,100.0,5,7,71.4,483,0,34,35,97.1,106,0.0,71,4714,0,66.4,38,33,842,25.5,0,0,0,70,3320,3102,881,47.4,44.3,1,0,10,31,44.3,5,7.1,27,27,218,8.1,289,189,82,18,68,190,35.8,4,10,40.0,112,1059,956,5165,5.4,31,6,10,0,0,0,0.0,312,354,-42
23,23,2014-2015-Regular,68,ATL,Atlanta,Falcons,24,16,632,418,66.1,39.5,4777,4575,7.6,6.9,285.9,28,4.4,11,1.7,630,61,9,30,202,96.2,372,23.2,1565,4.2,97.8,11,368,80,21.5,9,2,3,418,4777,11.4,298.6,28,630,233,52,9,0,674,1012,338,23,233,64,15,1,90,6.0,74,65,305,188,3,0,14,6,11,8,10,-1,18,1,48,1188,24.8,511,0,30,3,0,0,16,231,14.4,195,1,4,2,11,0,1,29,32,90.6,0,0,0.0,10,10,100.0,4,4,100.0,8,8,100.0,7,10,70.0,507,0,40,40,100.0,127,0.0,79,5080,0,64.3,46,33,815,24.7,0,0,0,61,2818,2559,876,46.2,42.0,0,0,3,25,41.0,4,6.6,28,26,259,10.0,334,233,80,21,93,208,44.7,8,16,50.0,88,751,1034,6140,5.9,40,6,10,0,0,0,0.0,375,417,-42
